D,r,gamma,region_index
3527.8448894592284,0.14022098322130463,0.04246752294143323,228
3548.0603982639,0.2777584125301728,0.07054012046860476,229
3555.8643842700526,0.2580280177451453,0.07051127549933418,230
3487.5608180435956,0.3155803176299669,0.0718756159452241,231
3554.40738997976,0.13521804708240295,0.0696997787820606,232
3429.290619649764,0.15576724591276042,0.06384946224761409,233
3524.1794524022234,0.14882922145251992,0.07197963287528274,234
3554.5660009245553,0.2848602444413149,0.0674758523066175,235
3545.201054981095,0.153360926942934,0.07029153884382373,236
3337.835144286485,0.24867419403350066,0.0793127606635882,237
3495.7906990804613,0.39306726416641935,0.07610433849294523,238
3535.282452542927,0.2709643019771103,0.06922083752037553,239
3471.595346676019,0.14929171284326964,0.07232472101526317,240
